plant_name,scientific_name,plant_category,plant_type,days_to_maturity,plant_spacing,sowing_depth,position,season,germination,sowing_method,hardiness_life_cycle,characteristics,description,additional_information,seed_type,image_filename,cool_climate_sowing_period,temperate_climate_sowing_period,subtropical_climate_sowing_period,tropical_climate_sowing_period,arid_climate_sowing_period
Summer Squash- Golden Scallopini,Cucurbita pepo,vegetable,Patty Pan Squash; Heirloom variety from Italy; Golden Colour,50-70 days,60cm,15mm,"Full sun, moist well drained soil",Spring or after frost,7-10 days @ 21-35°C,Sow direct or raise seedlings,Frost tender Annual,Excellent flavour; Very tender with exceptional flavour; Tender flesh,"**Golden Saucer Squash** This rare heirloom Italian squash boasts a flattened saucer-shaped appearance with scalloped-edged golden yellow fruit. Enjoy its nutty flavor and texture similar to zucchini, best picked when young.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Summer Squash- Golden Scallopini_Cucurbita pepo/Summer Squash- Golden Scallopini_Cucurbita pepo_1.jpg,"September, October, November, December","January, September, October, November, December","January, February, August, September, October, November, December","February, March, April, May, June, July, August, September","January, February, August, September, October, November, December"
Swede- American Purple Top,,vegetable,Root vegetable; Excellent flavour; Good in soups and stews,100 days,20cm,10mm,"Part or full sun, moist well drained soil","Late summer, early autumn (and spring in cool climates)",4-10 days @ 16-30°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Excellent flavour; High yielding; Delicious slightly spicy flavour,"**Swedish Turnip (Rutabaga) - Pale Yellow Root** A classic heirloom variety featuring pale yellow roots with purple tops and smooth yellow flesh. Excellent for soups, stews, baked dishes, or steamed as a vegetable. Stores well and boasts an excellent flavor.",,"Open pollinated, untreated, non-GMO variety of seed",Swede- American Purple Top_unknown/Swede- American Purple Top_unknown_1.jpg; Swede- American Purple Top_unknown/Swede- American Purple Top_unknown_2.jpg,"January, February, March, April, September, October, November","January, February, March, April","January, February, March, April, May","February, March, April","March, April, May, June, July, August, September"
Swede- Champion Purple Top,,vegetable,Root vegetable; Popular variety; Good in soups and stews,90 days,20cm,10mm,"Part or full sun, moist well drained soil","Late summer, early autumn (and spring in cool climates)",4-10 days @ 16-30°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Excellent flavour,"**Swedish Turnip (Rutabaga) - Cream Coloured Root** This popular swede variety features cream-colored roots with bright purple tops. Good in soups, stews, or steamed as a vegetable. Stores exceptionally well and boasts superb flavor. Also known as ""Cream of Saskatchewan"" and ""Norrland"".",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Swede- Champion Purple Top_unknown/Swede- Champion Purple Top_unknown_1.jpg; Swede- Champion Purple Top_unknown/Swede- Champion Purple Top_unknown_2.jpg,"January, February, March, April, September, October, November","January, February, March, April","January, February, March, April, May","February, March, April","March, April, May, June, July, August, September"
Tamarillo- Orange,Solanum betaceum,vegetable,Perennial to 200cm; Yellow to orange fruit; Also known as Ecuadorian Tomato,2 years,400cm,5mm,"Full sun, moist well drained soil",Spring and early summer,7-28 days @ 18-28°C,Sow direct or raise seedlings,Half hardy Perennial,Excellent flavour; Sweet,"**Ecuadorian Tomato (Cyphomandra betacea)** This perennial grows up to 200cm tall, producing an upright woody shrub with large green leaves and a shallow root system. Its fruit is egg-shaped, ripening from green to yellow then orange. The flesh of this variety is sweeter than the red one, making it perfect for fresh eating, stewing, or turning into jam/chutney.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tamarillo- Orange_Solanum betaceum/Tamarillo- Orange_Solanum betaceum_1.jpg; Tamarillo- Orange_Solanum betaceum/Tamarillo- Orange_Solanum betaceum_2.jpg; Tamarillo- Orange_Solanum betaceum/Tamarillo- Orange_Solanum betaceum_3.jpg,"September, October, November, December","August, September, October, November, December","August, September, October, November, December",,"September, October, November, December"
Taro,Colocasia esculenta,vegetable,Perennial to 100cm; Attractive heart-shaped leaves; Corms edible only when cooked,,60-90cm,,"Full sun, moist well-drained soil",,,Close,Frost Tender Perennial,Slightly sweeter flavour than other varieties,". **Taro** A herbaceous perennial growing up to 1m tall with large green heart-shaped leaves on upright fleshy stalks. Taro's edible starchy corms are roasted, baked, steamed, or boiled before being eaten. However, its calcium oxalate crystals require thorough cooking – otherwise, it can cause mouth and stomach irritation.",Container growing; Culinary use; Ornamental use,,Taro_Colocasia esculenta/Taro_Colocasia esculenta_1.jpg; Taro_Colocasia esculenta/Taro_Colocasia esculenta_2.jpg; Taro_Colocasia esculenta/Taro_Colocasia esculenta_3.jpg; Taro_Colocasia esculenta/Taro_Colocasia esculenta_4.jpg,,"October, November","September, October, November, December","August, September","September, October"
Tatsoi,,vegetable,Leaf vegetable; Good variety for baby leaf production; Also known as Rosette Pak Choi,45 days (baby leaf in 21 days),20cm,6mm,"Part or full sun, well drained soil","Spring, summer and autumn",4-11 days @ 12-28°C,Sow direct or raise seedlings,Hardy Biennial (usually grown as an annual),Mild but spicy flavour,"**Pak Choi Rosette** is a very popular Asian variety of Chinese cabbage. This low-growing plant forms tight rosettes of dark green, glossy leaves on pale green/white stems. The leaves have a mild mustard flavor, making them a great addition to salads and stir-fries, or cooked as a vegetable in soups. Baby leaf production thrives with this variety, taking just 21 days to mature. Its cold tolerance makes it an excellent choice for cooler climates. It's also perfect for sprouts and microgreens.",,"Open pollinated, untreated, non-GMO variety of seed",Tatsoi_unknown/Tatsoi_unknown_1.jpg; Tatsoi_unknown/Tatsoi_unknown_2.jpg; Tatsoi_unknown/Tatsoi_unknown_3.jpg,"September, October, November",,,,
Tomatillo- Michoacan Purple,Physalis ixocarpa,vegetable,"Annual, 120cm; Attractive small purple/green fruit; Great raw or cooked",70-90 days,50cm,4mm,"Full sun, moist well drained soil",Spring and early summer,15-20 days @ 22-28°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Frost tender Annual,Excellent flavour,"**Husk Tomato** (synonyms: _Physalis philadelphica Lam_) is an annual from Mexico that grows up to 120cm tall. This plant produces delicious green/purple fruit encased in a papery husk called a calyx. The calyx becomes brittle and begins to split when the fruit is ready for harvest, but be warned: it's not edible! Enjoy your Husk Tomatoes raw or cooked - they're perfect for salsas, sauces, jams, preserves, curries, soups, and stews.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomatillo- Michoacan Purple_Physalis ixocarpa/Tomatillo- Michoacan Purple_Physalis ixocarpa_1.jpg; Tomatillo- Michoacan Purple_Physalis ixocarpa/Tomatillo- Michoacan Purple_Physalis ixocarpa_2.jpg,"September, October, November, December","August, September, October, November, December","August, September, October","August, September, October, November","July, August"
Tomatillo- Verde Puebla,Physalis philadelphica,vegetable,Annual 120cm; Attractive golden green fruit; Great raw or cooked,80 days,50cm,4mm,"Full sun, moist well drained soil",Spring and early summer,7-14 days @ 21-27°C,**Raise seedlings:** This means seeds are best started off in trays or other containers and then transplanted to their final position once they are established,Frost tender Annual,Excellent flavour,"**Husk Tomato**, also known as 'Mexican Tomato', produces round golden green fruit encased in a papery husk called a calyx. The fruit grows to around 4cm and is ready for harvest when the calyx becomes brittle and begins to split. This Husk Tomato has an excellent tart flavor, making it perfect for eating raw or cooked, and is used in salsas, sauces, jams, preserves, curries, soups, and stews.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomatillo- Verde Puebla_Physalis philadelphica/Tomatillo- Verde Puebla_Physalis philadelphica_1.jpg; Tomatillo- Verde Puebla_Physalis philadelphica/Tomatillo- Verde Puebla_Physalis philadelphica_2.jpg; Tomatillo- Verde Puebla_Physalis philadelphica/Tomatillo- Verde Puebla_Physalis philadelphica_3.jpg,"September, October, November, December","August, September, October, November, December","August, September, October","August, September, October, November","July, August"
Tomato- Australian Red,Solanum lycopersicum,vegetable,Climbing (indeterminate); Large flat red fruit; Good for cooler climates,100-120 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour,**Tomato** (synonyms: _Lycopersicon esculentum_) is a climbing plant with an excellent flavor that's perfect for cooler climates. This good all-purpose variety excels as an adaptable choice for many gardeners.,Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Australian Red_Solanum lycopersicum/Tomato- Australian Red_Solanum lycopersicum_1.jpg; Tomato- Australian Red_Solanum lycopersicum/Tomato- Australian Red_Solanum lycopersicum_2.jpg; Tomato- Australian Red_Solanum lycopersicum/Tomato- Australian Red_Solanum lycopersicum_3.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Barry's Crazy Cherry,Solanum lycopersicum,vegetable,Climbing (indeterminate); Yellow cherry tomato type; Good sweet flavour,85 days,60cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),7-14 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,Good sweet flavour; Excellent flavour; High yielding,"**Yellow Cherry Tomato** (synonyms: _Lycopersicon esculentum_) produces an abundance of pale yellow, cherry-sized fruits with pointed tips. These low-acid, very sweet tomatoes are perfect for snacking, salads, chutney, and salsa. This indeterminate variety means plants grow continuously throughout the growing season and produce fruit until the weather starts cooling down - be sure to provide support via staking or a tomato cage.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Barrys Crazy Cherry_Solanum lycopersicum/Tomato- Barrys Crazy Cherry_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Beefsteak,Solanum lycopersicum,vegetable,Climbing (indeterminate); Heritage variety; Large fruit to 500g,96 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,Excellent flavour,"**Large Red Beefsteak Tomato** (synonyms: _Lycopersicon esculentum_) is a heritage climbing plant with very large, ribbed fruits that can grow up to 500g each. The delicious pink/red meaty flesh of these tomatoes is ideal for slicing and enjoying fresh from the garden.",Beds; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Beefsteak_Solanum lycopersicum/Tomato- Beefsteak_Solanum lycopersicum_1.jpg; Tomato- Beefsteak_Solanum lycopersicum/Tomato- Beefsteak_Solanum lycopersicum_2.jpg; Tomato- Beefsteak_Solanum lycopersicum/Tomato- Beefsteak_Solanum lycopersicum_3.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Berkeley Tie Dye Green,Solanum lycopersicum,vegetable,"Climbing (indeterminate); Green tomato with red and yellow stripes; Rich, sweet-tart flavour",70 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,"Rich, sweet-tart flavour; High yielding; Excellent flavour","**Green Striped Beefsteak Tomato** (synonyms: _Lycopersicon esculentum_) boasts a rich sweet-tart flavor with creamy-green flesh, shaded in red and yellow. This large-fruited, colorful tomato weighs 250-300g and is perfect for slicing and using on sandwiches or in salads.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Berkeley Tie Dye Green_Solanum lycopersicum/Tomato- Berkeley Tie Dye Green_Solanum lycopersicum_1.jpg; Tomato- Berkeley Tie Dye Green_Solanum lycopersicum/Tomato- Berkeley Tie Dye Green_Solanum lycopersicum_2.jpg; Tomato- Berkeley Tie Dye Green_Solanum lycopersicum/Tomato- Berkeley Tie Dye Green_Solanum lycopersicum_3.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Big Pear,Solanum lycopersicum,vegetable,Climbing (indeterminate); Large Pear shaped fruits; Great for sauce and paste,90 days,70cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour,"**San Marzano Tomato** (synonyms: _Lycopersicon esculentum_) produces large meaty pear-shaped red tomatoes with a rich flavor that's perfect for making sauces and tomato paste. This indeterminate variety has very few seeds, low water content, and is a well-known Italian heirloom.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Big Pear_Solanum lycopersicum/Tomato- Big Pear_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Big Rainbow,Solanum lycopersicum,vegetable,"Climbing (indeterminate); Highly attractive, rainbow coloured skin; Rainbow coloured fruits",90 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour,"**Rainbow Beefsteak Tomato** (synonyms: _Lycopersicon esculentum_) is an heirloom climbing plant producing large beefsteak fruits up to 10cm in diameter. The rainbow-colored skin features yellow, red, and orange shades, while the firm juicy flesh inside is marbled red and yellow, making it a striking addition to any platter or salad.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Big Rainbow_Solanum lycopersicum/Tomato- Big Rainbow_Solanum lycopersicum_1.jpg; Tomato- Big Rainbow_Solanum lycopersicum/Tomato- Big Rainbow_Solanum lycopersicum_2.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Black Cherry,Solanum lycopersicum,vegetable,"Climbing (indeterminate); Sweet, full and complex flavour; Disease resistant",80 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,"Sweet, full and complex flavour; Disease resistant; Sweet",". **Black Russian Cherry Tomato** (synonyms: _Lycopersicon esculentum_) is an early Russian variety that's popular for its sweetness. This vigorous climbing plant produces 3cm deep purple-black cherry-like fruits with a sweet and complex flavor that bursts in your mouth, making it perfect for snacking or adding to salads.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Black Cherry_Solanum lycopersicum/Tomato- Black Cherry_Solanum lycopersicum_1.jpg; Tomato- Black Cherry_Solanum lycopersicum/Tomato- Black Cherry_Solanum lycopersicum_2.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Black Krim,Solanum lycopersicum,vegetable,Climbing (indeterminate); Heirloom variety; Medium sized dark purple fruit,80 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour,"**Purple Prince**: A climbing heirloom variety that produces medium-sized, dark purple fruits with exceptional flavor and high productivity.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Black Krim_Solanum lycopersicum/Tomato- Black Krim_Solanum lycopersicum_1.jpg; Tomato- Black Krim_Solanum lycopersicum/Tomato- Black Krim_Solanum lycopersicum_2.jpg; Tomato- Black Krim_Solanum lycopersicum/Tomato- Black Krim_Solanum lycopersicum_3.jpg; Tomato- Black Krim_Solanum lycopersicum/Tomato- Black Krim_Solanum lycopersicum_4.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Black Zebra,Solanum lycopersicum,vegetable,"Climbing (indeterminate) growth; Round, mahogany-red with green stripes; Rich, sweet flavour",65-75 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after last frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,"Rich, sweet flavour; High yielding; Excellent flavour","**Mahogany Red Stripe**: This Ukrainian heirloom tomato boasts vibrant mahogany-red skin with green stripes, featuring a rich, sweet flavor and indeterminate growth habit.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Black Zebra_Solanum lycopersicum/Tomato- Black Zebra_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Blue Beauty,Solanum lycopersicum,vegetable,Climbing (indeterminate); Blue-black shoulders over red skin; red flesh; 'Modern heirloom' variety,70 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding,"**Indigo Blue Beauty**: Also known as 'Blue Black Beauty', this modern heirloom variety produces stunning blue-black shoulders over red skin, with smooth or ridged fruits that turn from green to red as they ripen. The flesh is meaty, aromatic, and slightly acidic, perfect for salads and sandwiches.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Blue Beauty_Solanum lycopersicum/Tomato- Blue Beauty_Solanum lycopersicum_1.jpg; Tomato- Blue Beauty_Solanum lycopersicum/Tomato- Blue Beauty_Solanum lycopersicum_2.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Brandywine Red,Solanum lycopersicum,vegetable,Climbing (indeterminate); Amish heirloom variety; Large red fruit to 450g,72 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Sweet; Disease resistant,"**Amish Giant**: A climbing Amish heirloom variety producing very large, flat red fruits (up to 450g) with meaty pink/red flesh, renowned for its superb flavor.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Brandywine Red_Solanum lycopersicum/Tomato- Brandywine Red_Solanum lycopersicum_1.jpg; Tomato- Brandywine Red_Solanum lycopersicum/Tomato- Brandywine Red_Solanum lycopersicum_2.jpg; Tomato- Brandywine Red_Solanum lycopersicum/Tomato- Brandywine Red_Solanum lycopersicum_3.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Cherokee Purple,Solanum lycopersicum,vegetable,Climbing (indeterminate); Exceptional flavour; Juicy flesh,80 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,Exceptional flavour; High yielding,"**Purple/Pink Delight**: This climbing beefsteak tomato features medium-sized fruits with purple/pink skin and dark shoulders, ranging in interior color from purple to green to brown. The juicy flesh is prized for its exceptional sweetness.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Cherokee Purple_Solanum lycopersicum/Tomato- Cherokee Purple_Solanum lycopersicum_1.jpg; Tomato- Cherokee Purple_Solanum lycopersicum/Tomato- Cherokee Purple_Solanum lycopersicum_2.jpg; Tomato- Cherokee Purple_Solanum lycopersicum/Tomato- Cherokee Purple_Solanum lycopersicum_3.jpg; Tomato- Cherokee Purple_Solanum lycopersicum/Tomato- Cherokee Purple_Solanum lycopersicum_4.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Cosmic Eclipse,Solanum lycopersicum,vegetable,"Climbing (indeterminate); Mulicoloured fruit in a galaxy of colours; Rich, sweet and juicy",80 days,80cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,"Rich, sweet and juicy; High yielding; Excellent flavour; Sweet","**Galaxy Tomato**: A climbing (indeterminate) variety producing small 'plum' fruit with a dazzling array of colors, including purple-red skin, green stripes, and gold flecks. The flesh boasts varied green-red hues, delivering a rich, sweet flavor.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Cosmic Eclipse_Solanum lycopersicum/Tomato- Cosmic Eclipse_Solanum lycopersicum_1.jpg; Tomato- Cosmic Eclipse_Solanum lycopersicum/Tomato- Cosmic Eclipse_Solanum lycopersicum_2.jpg; Tomato- Cosmic Eclipse_Solanum lycopersicum/Tomato- Cosmic Eclipse_Solanum lycopersicum_3.jpg; Tomato- Cosmic Eclipse_Solanum lycopersicum/Tomato- Cosmic Eclipse_Solanum lycopersicum_4.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Daydream,Solanum lycopersicum,vegetable,"Climbing (indeterminate); Large, 6-9cm fruits; Vigorous grower; High yielding",70-80 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,Vigorous grower; High yielding; High yielding; Excellent flavour; Sweet,"**Red Star**: This vigorous climber produces smooth, deep red fruits over an extended period, ideal for salads, sandwiches, and sauces due to its size (6-9cm) and low acidity.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Daydream_Solanum lycopersicum/Tomato- Daydream_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Evergreen,Solanum lycopersicum,vegetable,Climbing (indeterminate); Heirloom variety; Medium sized green fruit,80 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour,"**Green Delight**: A climbing heirloom variety with medium-sized green fruit that develops a slight yellow tinge when ripe. The flavor is mild, making it perfect for slicing, frying, and pickling.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Evergreen_Solanum lycopersicum/Tomato- Evergreen_Solanum lycopersicum_1.jpg; Tomato- Evergreen_Solanum lycopersicum/Tomato- Evergreen_Solanum lycopersicum_2.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Garden Delight,Solanum lycopersicum,vegetable,Semi determinate; Heavy cropper; Trusses of 6-12 cherry tomatoes,65 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,Sweet,"**Sweet Cherry**: This semi-determinate cherry tomato produces long trusses of 6-12 bright red fruits (2-4cm in diameter), offering an abundance of sweet fruit from plants growing up to 1.5m tall.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Garden Delight_Solanum lycopersicum/Tomato- Garden Delight_Solanum lycopersicum_1.jpg; Tomato- Garden Delight_Solanum lycopersicum/Tomato- Garden Delight_Solanum lycopersicum_2.jpg; Tomato- Garden Delight_Solanum lycopersicum/Tomato- Garden Delight_Solanum lycopersicum_3.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Gold Nugget,Solanum lycopersicum,vegetable,Bush (determinate); Prolific variety; Great for small spaces,70 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),7-14 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Sweet,". **Golden Nugget**: A compact, determinate bush variety ideal for containers and small spaces, producing clusters of golden yellow cherry tomatoes with a tender, juicy texture and sweet flavor – perfect for early cropping in cooler climates.",Container growing; Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Gold Nugget_Solanum lycopersicum/Tomato- Gold Nugget_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Grosse Lisse,Solanum lycopersicum,vegetable,Climbing (indeterminate); Heirloom variety; Heavy yielding,85-100 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,Heavy yielding; High yielding,"**Red Currant Tomato**: Synonyms: _Lycopersicon esculentum_; Climbing. Medium to large sized, globe shaped red fruits are one of the best and most popular home garden varieties. This fast-growing, heavy-yielding tomato is known for its excellent flavor.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Grosse Lisse_Solanum lycopersicum/Tomato- Grosse Lisse_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Peron,Solanum lycopersicum,vegetable,Climbing (indeterminate); Good resistance to disease and insects; Heirloom from 1950's,70 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour,"**Peron Sprayless Tomato**: Synonyms: _Lycopersicon esculentum_; Climbing (indeterminate). Hailing from Argentina in the 1950's, this heirloom variety boasts good disease resistance and performs well in most climates, particularly warm and humid ones. The globe-shaped red fruits have meaty flesh, a very thick smooth skin, and weigh around 150g. Perfect for canning, bottling, slicing, salads, and cooking, they're also resistant to cracking and easy to peel.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Peron_Solanum lycopersicum/Tomato- Peron_Solanum lycopersicum_1.jpg; Tomato- Peron_Solanum lycopersicum/Tomato- Peron_Solanum lycopersicum_2.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Pink Delight,Solanum lycopersicum,vegetable,Climbing (indeterminate); Pink coloured fruit; Heirloom variety from central America,90 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),7-14 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour; Sweet,"**Pink Tomateleña Tomato**: Synonyms: _Lycopersicon esculentum_; Climbing (indeterminate) heirloom tomato variety from central America produces large pink fruits with great color, firm texture, and a mild sweet taste. They're ideal for sauces, slicing, and salads.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Pink Delight_Solanum lycopersicum/Tomato- Pink Delight_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Pink Marbles,Solanum lycopersicum,vegetable,Climbing (indeterminate); Reddish-pink cherry fruit; Heirloom variety,65 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Excellent flavour,"**Early Wonder Tomato**: Synonyms: _Lycopersicon esculentum_; Climbing (Indeterminate). This early season heirloom variety reaches maturity in just 65 days, producing round, reddish-pink fruits that burst with flavor. Add them to salads or a vegetable platter for a tasty and attractive treat.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Pink Marbles_Solanum lycopersicum/Tomato- Pink Marbles_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
Tomato- Ram's Horn,Solanum lycopersicum,vegetable,Bush (Determinate); Red elongated horn shaped fruit; Heirloom variety,80 days,50cm,5mm,"Full sun, moist well drained soil",Spring and early summer (or after frost),5-10 days @ 21-27°C,Sow direct or raise seedlings,Frost tender Annual,High yielding; Sweet flavour,"**Cherokee Tomato**: Synonyms: _Lycopersicon esculentum_; Bush (Determinate). This heirloom variety produces red, medium to large sized, elongated (horn) shaped fruits that are tolerant of a wide range of conditions and have good disease resistance. The high yield makes them ideal for salads, sauces, and preserving.",Culinary use,"Open pollinated, untreated, non-GMO variety of seed",Tomato- Rams Horn_Solanum lycopersicum/Tomato- Rams Horn_Solanum lycopersicum_1.jpg,"September, October, November, December","August, September, October, November, December","January, February, March, August, September, October, November, December","February, March, April, May, June, July","March, April, May, June, July, August, September"
